SDR:0.0782795 CONVERT:0.000329018 ITER:0 GLOBAL:1.19209e-06 T2SIN:0.000701189 SDR:0.0450854 CONVERT:0.000321627 TIME:0.0461237
ITER:1 GLOBAL:0.0461257 T2SIN:0.000231743 PILOT_SINH:8.96454e-05 FREQ_PHASE_SINH:0.000120163 PFC:5.05447e-05 MAC:3.50475e-05 SEQ:0 DET:0 FR_IN_BUF:1 TIME:0.000585079
ITER:2 GLOBAL:0.0467112 T2SIN:1.3113e-05 PILOT_SINH:6.46114e-05 FREQ_PHASE_SINH:8.7738e-05 PFC:3.8147e-05 MAC:2.74181e-05 SEQ:1 DET:1 FR_IN_BUF:2 TIME:0.000274658
ITER:3 GLOBAL:0.0469861 T2SIN:9.05991e-06 PILOT_SINH:6.22272e-05 FREQ_PHASE_SINH:8.39233e-05 PFC:3.74317e-05 MAC:2.57492e-05 SEQ:2 DET:2 FR_IN_BUF:3 TIME:0.000291348
ITER:4 GLOBAL:0.0472779 T2SIN:8.34465e-06 PILOT_SINH:6.74725e-05 FREQ_PHASE_SINH:8.27312e-05 PFC:3.8147e-05 MAC:2.90871e-05 SEQ:3 DET:3 FR_IN_BUF:4 TIME:0.000264168
ITER:5 GLOBAL:0.0475426 T2SIN:7.15256e-06 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:3.6478e-05 MAC:2.38419e-05 SEQ:4 DET:4 FR_IN_BUF:5 TIME:0.000249147
ITER:6 GLOBAL:0.0477922 T2SIN:6.67572e-06 PILOT_SINH:6.03199e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:3.67165e-05 MAC:2.38419e-05 SEQ:5 DET:5 FR_IN_BUF:6 TIME:0.000258207
ITER:7 GLOBAL:0.0480506 T2SIN:5.72205e-06 PILOT_SINH:6.03199e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:3.98159e-05 MAC:2.36034e-05 SEQ:6 DET:6 FR_IN_BUF:7 TIME:0.000273705
ITER:8 GLOBAL:0.0483246 T2SIN:7.15256e-06 PILOT_SINH:5.96046e-05 FREQ_PHASE_SINH:8.91685e-05 PFC:3.8147e-05 MAC:2.38419e-05 SEQ:7 DET:7 FR_IN_BUF:8 TIME:0.000277281
ITER:9 GLOBAL:0.0486021 T2SIN:6.67572e-06 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.63075e-05 PFC:3.6478e-05 MAC:2.3365e-05 SEQ:8 DET:8 FR_IN_BUF:9 TIME:0.000269413
ITER:10 GLOBAL:0.0488718 T2SIN:7.15256e-06 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:3.6478e-05 MAC:2.36034e-05 SEQ:9 DET:9 FR_IN_BUF:10 TIME:0.000267506
ITER:11 GLOBAL:0.0491395 T2SIN:1.21593e-05 PILOT_SINH:6.46114e-05 FREQ_PHASE_SINH:8.53539e-05 PFC:3.93391e-05 MAC:2.81334e-05 SEQ:19268 DET:10 FR_IN_BUF:11 TIME:0.000276089
ITER:12 GLOBAL:0.0494161 T2SIN:1.0252e-05 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:4.07696e-05 MAC:2.40803e-05 SEQ:2312 DET:11 FR_IN_BUF:12 TIME:0.000252962
ITER:13 GLOBAL:0.0496693 T2SIN:9.53674e-06 PILOT_SINH:5.98431e-05 FREQ_PHASE_SINH:8.17776e-05 PFC:3.95775e-05 MAC:2.36034e-05 SEQ:2248 DET:12 FR_IN_BUF:13 TIME:0.000251055
ITER:14 GLOBAL:0.0499206 T2SIN:9.05991e-06 TIME:8.9407e-05
ITER:15 GLOBAL:0.0500102 T2SIN:1.09673e-05 PILOT_SINH:6.03199e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:3.88622e-05 MAC:2.6226e-05 SEQ:52068 DET:13 FR_IN_BUF:14 TIME:0.00026989
ITER:16 GLOBAL:0.0502803 T2SIN:9.29832e-06 PILOT_SINH:6.4373e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:3.95775e-05 MAC:2.36034e-05 SEQ:51032 DET:14 FR_IN_BUF:15 TIME:0.000262022
ITER:17 GLOBAL:0.0505428 T2SIN:1.04904e-05 PILOT_SINH:5.96046e-05 FREQ_PHASE_SINH:8.70228e-05 PFC:4.02927e-05 MAC:2.36034e-05 SEQ:2824 DET:15 FR_IN_BUF:16 TIME:0.000257015
